set,group,exam,instance,NC,RF,RS,model,heuristic,config,dominance,solved,makespan,time,expand_number,generated_number,depth,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned,run_date,machine,source_file
j30,5,5,j305_5,1.5,0.5,0.2,TT,CP,base,False,False,,300.0,4485688,22353173,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,5,6,j305_6,1.5,0.5,0.2,TT,CP,base,False,False,,300.003,4259324,25013324,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,5,7,j305_7,1.5,0.5,0.2,TT,CP,base,False,False,,300.019,3481384,24027796,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,5,8,j305_8,1.5,0.5,0.2,TT,CP,base,False,False,,300.003,5237433,28560332,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,5,9,j305_9,1.5,0.5,0.2,TT,CP,base,False,False,,300.003,6398200,31075942,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,5,10,j305_10,1.5,0.5,0.2,TT,CP,base,False,False,,1053.59,4345753,20829573,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,6,1,j306_1,1.5,0.5,0.5,TT,CP,base,False,False,,488.953,2067316,10536577,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,6,2,j306_2,1.5,0.5,0.5,TT,CP,base,False,True,51,187.766,2398472,13479308,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,6,3,j306_3,1.5,0.5,0.5,TT,CP,base,False,True,48,0.7555,49164,238943,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,6,4,j306_4,1.5,0.5,0.5,TT,CP,base,False,True,42,2.57198,143478,785071,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,6,5,j306_5,1.5,0.5,0.5,TT,CP,base,False,False,,953.159,4185743,17520091,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,6,6,j306_6,1.5,0.5,0.5,TT,CP,base,False,True,37,0.0360714,1394,10078,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,6,7,j306_7,1.5,0.5,0.5,TT,CP,base,False,False,,1016.37,2525854,12538909,,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,6,8,j306_8,1.5,0.5,0.5,TT,CP,base,False,True,39,1.63894,111841,579194,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,6,9,j306_9,1.5,0.5,0.5,TT,CP,base,False,True,51,8.16967,454073,2434468,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,6,10,j306_10,1.5,0.5,0.5,TT,CP,base,False,True,61,2.71227,140718,780818,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,7,1,j307_1,1.5,0.5,0.7,TT,CP,base,False,True,55,0.00383079,327,1146,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
j30,7,2,j307_2,1.5,0.5,0.7,TT,CP,base,False,True,42,0.0141063,737,4180,33,,,,,2026-02-01,laptop,data/real_data/2026-02-01_j30_g1-48_e1-10_tt_cp_dp.csv
