group,exam,time,finished,makespan,expand number,generated number,depth,true makespan,iyar solved,iyar time,iyar expanded,iyar generated,is makespan OK?,time- part,NC,RF,RS,time ratio,expand ratio,generated ratio
12,5,1.20774,TRUE,47,1211,8262,33,47,TRUE,1.659823179,1211,8258,1,0-10 sec,1.5,0.75,1,0.727631723,1,1.000484379
12,6,1.57597,TRUE,53,2295,9923,33,53,TRUE,0.49961853,548,2635,1,0-10 sec,1.5,0.75,1,3.154346577,4.187956204,3.765844402
12,7,1.51752,TRUE,55,2401,11476,33,55,TRUE,1.549799442,1942,9418,1,0-10 sec,1.5,0.75,1,0.979171859,1.236354274,1.218517732
12,8,1.07725,TRUE,35,838,6460,33,35,TRUE,0.085729361,43,240,1,0-10 sec,1.5,0.75,1,12.56570663,19.48837209,26.91666667
12,9,0.0399206,TRUE,52,67,284,33,52,TRUE,0.112382889,66,284,1,0-10 sec,1.5,0.75,1,0.355219557,1.015151515,1
12,10,5.40986,TRUE,57,7643,38695,33,57,TRUE,3.564381123,8574,43307,1,0-10 sec,1.5,0.75,1,1.517755766,0.891415909,0.893504514
13,1,600.004,FALSE,0,273172,1983983,0,58,FALSE,,,,,Out of Range,1.5,1,0.2,,,
13,2,600.003,FALSE,0,298819,2056046,0,62,FALSE,,,,,Out of Range,1.5,1,0.2,,,
13,3,600.002,FALSE,0,313567,1923935,0,76,FALSE,,,,,Out of Range,1.5,1,0.2,,,
13,4,600.003,FALSE,0,393284,2055196,0,72,FALSE,,,,,Out of Range,1.5,1,0.2,,,
13,5,600.018,FALSE,0,306635,2108708,0,67,FALSE,,,,,Out of Range,1.5,1,0.2,,,
13,6,600.018,FALSE,0,291925,2099235,0,64,FALSE,,,,,Out of Range,1.5,1,0.2,,,
13,7,600.008,FALSE,0,321139,2141681,0,77,FALSE,,,,,Out of Range,1.5,1,0.2,,,
13,8,994.293,FALSE,0,172933,1117935,0,106,FALSE,,,,,Out of Range,1.5,1,0.2,,,
13,9,964.882,FALSE,0,174755,1114022,0,71,FALSE,,,,,Out of Range,1.5,1,0.2,,,
13,10,1094.73,FALSE,0,146815,1085303,0,64,FALSE,,,,,Out of Range,1.5,1,0.2,,,
14,1,600.003,FALSE,0,309769,1279125,0,50,FALSE,,,,,Out of Range,1.5,1,0.5,,,
14,2,1035.95,FALSE,0,224775,1186614,0,53,FALSE,,,,,Out of Range,1.5,1,0.5,,,
14,3,887.266,FALSE,0,243855,1167852,0,58,FALSE,,,,,Out of Range,1.5,1,0.5,,,
14,4,692.956,FALSE,0,215378,1179307,0,50,FALSE,,,,,Out of Range,1.5,1,0.5,,,
14,5,10.9476,TRUE,52,7400,48507,33,52,TRUE,6.337008953,7366,48323,1,10-60 sec,1.5,1,0.5,1.727565809,1.004615802,1.003807711
14,6,19.8889,TRUE,35,12988,81837,33,35,TRUE,14.04283142,17663,109462,1,10-60 sec,1.5,1,0.5,1.416302696,0.735322425,0.747629314
14,7,685.607,FALSE,0,204899,1158975,0,50,FALSE,,,,,Out of Range,1.5,1,0.5,,,
14,8,0.363893,TRUE,54,287,1603,33,54,TRUE,1.421920061,1438,8780,1,0-10 sec,1.5,1,0.5,0.255916637,0.199582754,0.182574032
14,9,751.804,FALSE,0,203140,1192894,0,46,FALSE,,,,,Out of Range,1.5,1,0.5,,,
14,10,1007.88,FALSE,0,283703,1205286,0,61,TRUE,119.7046683,321805,1363127,,Out of Range,1.5,1,0.5,,,
15,1,3.89159,TRUE,46,3170,17031,33,46,TRUE,2.407143593,3171,17079,1,0-10 sec,1.5,1,0.7,1.616683779,0.999684642,0.997189531
15,2,1.71624,TRUE,47,932,6730,33,47,TRUE,1.124084234,1008,7105,1,0-10 sec,1.5,1,0.7,1.526789495,0.924603175,0.947220267
15,3,2.76291,TRUE,48,3039,12511,33,48,TRUE,0.341434002,310,1409,1,0-10 sec,1.5,1,0.7,8.092076313,9.803225806,8.879347055
15,4,1.8195,TRUE,48,1471,7740,33,48,TRUE,7.45976162,10264,50036,1,0-10 sec,1.5,1,0.7,0.243908598,0.143316446,0.154688624
15,5,609.424,FALSE,0,271182,1190591,0,58,TRUE,289.6047125,427530,1934038,,Out of Range,1.5,1,0.7,,,
15,6,0.0757825,TRUE,67,96,465,33,67,TRUE,3.574009657,4781,21175,1,0-10 sec,1.5,1,0.7,0.021203776,0.020079481,0.021959858
15,7,0.0238086,TRUE,47,34,135,33,47,TRUE,0.301281452,335,1464,1,0-10 sec,1.5,1,0.7,0.079024447,0.101492537,0.092213115
15,8,600.003,FALSE,0,475791,1768869,0,50,FALSE,,,,,Out of Range,1.5,1,0.7,,,
15,9,0.125998,TRUE,54,145,758,33,54,TRUE,0.176285982,151,775,1,0-10 sec,1.5,1,0.7,0.714736354,0.960264901,0.978064516
15,10,0.280626,TRUE,65,346,1779,33,65,TRUE,0.093661308,82,259,1,0-10 sec,1.5,1,0.7,2.996178529,4.219512195,6.868725869
16,1,2.22048,TRUE,51,2869,13768,33,51,TRUE,2.686653614,3665,17128,1,0-10 sec,1.5,1,1,0.826485405,0.782810368,0.803829986
16,2,0.0882489,TRUE,48,115,587,33,48,TRUE,0.17308259,114,589,1,0-10 sec,1.5,1,1,0.509865839,1.00877193,0.996604414
16,3,0.0621612,TRUE,36,74,368,33,36,TRUE,0.126426697,71,363,1,0-10 sec,1.5,1,1,0.491677798,1.042253521,1.013774105
16,4,0.0678493,TRUE,47,80,429,33,47,TRUE,0.089794636,49,248,1,0-10 sec,1.5,1,1,0.755605268,1.632653061,1.72983871
16,5,0.217436,TRUE,51,285,1556,33,51,TRUE,0.268150568,284,1556,1,0-10 sec,1.5,1,1,0.810872793,1.003521127,1
16,6,0.115658,TRUE,51,97,682,33,51,TRUE,0.108080149,96,686,1,0-10 sec,1.5,1,1,1.070113255,1.010416667,0.994169096
16,7,0.135304,TRUE,34,156,850,33,34,TRUE,0.255762339,151,827,1,0-10 sec,1.5,1,1,0.529022375,1.033112583,1.027811366
16,8,0.130254,TRUE,44,134,787,33,44,TRUE,0.440371037,322,1553,1,0-10 sec,1.5,1,1,0.295782395,0.416149068,0.506761108
16,9,0.0611691,TRUE,44,89,373,33,44,TRUE,0.032954693,34,135,1,0-10 sec,1.5,1,1,1.856157483,2.617647059,2.762962963
16,10,38.5525,TRUE,51,43714,208971,33,51,TRUE,92.69096875,143352,612925,1,10-60 sec,1.5,1,1,0.415925095,0.304941682,0.340940572
17,1,600.002,FALSE,0,361640,1877094,0,64,FALSE,,,,,Out of Range,1.8,0.25,0.2,,,
17,2,25.5336,TRUE,68,47297,203642,33,68,TRUE,24.90478873,47356,203906,1,10-60 sec,1.8,0.25,0.2,1.025248609,0.998754118,0.998705286
17,3,0.0344812,TRUE,60,58,229,33,60,TRUE,0.097541809,63,253,1,0-10 sec,1.8,0.25,0.2,0.353501748,0.920634921,0.90513834
17,4,4.8314,TRUE,49,6245,35752,33,49,TRUE,2.334358215,6256,35804,1,0-10 sec,1.8,0.25,0.2,2.069690919,0.998241688,0.998547648
17,5,19.1331,TRUE,47,28461,131709,33,47,TRUE,7.767572641,28580,132182,1,10-60 sec,1.8,0.25,0.2,2.46320194,0.995836249,0.996421601
17,6,0.0301432,TRUE,63,46,196,33,63,TRUE,0.075646639,45,196,1,0-10 sec,1.8,0.25,0.2,0.398473751,1.022222222,1
17,7,5.83548,TRUE,57,7869,43015,33,57,TRUE,2.689342022,7868,43015,1,0-10 sec,1.8,0.25,0.2,2.16985417,1.000127097,1
17,8,0.758329,TRUE,61,1309,5625,33,61,TRUE,0.927476168,1274,5488,1,0-10 sec,1.8,0.25,0.2,0.8176264,1.027472527,1.024963557
