group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType
16,7,0.0148821,True,34,156,850,33,TT,j30
16,8,0.0150721,True,44,134,787,33,TT,j30
16,9,0.00947357,True,44,89,373,33,TT,j30
16,10,1.1136,True,51,43714,208971,33,TT,j30
17,1,37.8368,True,64,1999830,9367087,33,TT,j30
17,2,0.761806,True,68,47297,203642,33,TT,j30
17,3,0.00169365,True,60,58,229,33,TT,j30
17,4,0.167249,True,49,6245,35752,33,TT,j30
17,5,0.595352,True,47,28461,131709,33,TT,j30
17,6,0.00169487,True,63,46,196,33,TT,j30
17,7,0.232888,True,57,7869,43015,33,TT,j30
17,8,0.034239,True,61,1309,5625,33,TT,j30
17,9,0.357096,True,48,16452,76299,33,TT,j30
17,10,0.00215752,True,66,73,292,33,TT,j30
18,1,0.0480438,True,53,2011,10514,33,TT,j30
18,2,0.0545224,True,55,2205,11573,33,TT,j30
18,3,0.0212888,True,56,1144,4813,33,TT,j30
18,4,0.00808543,True,70,339,1426,33,TT,j30
18,5,0.0538521,True,52,2627,12153,33,TT,j30
18,6,0.396724,True,62,29430,114272,33,TT,j30
18,7,0.0257976,True,48,1166,5282,33,TT,j30
18,8,0.0203813,True,52,1445,5654,33,TT,j30
18,9,0.00535647,True,47,185,869,33,TT,j30
18,10,0.682078,True,49,38903,190741,33,TT,j30
19,1,0.093381,True,40,3937,19505,33,TT,j30
19,2,0.00539507,True,58,49,181,33,TT,j30
19,3,0.0369016,True,83,72,310,33,TT,j30
19,4,0.00648761,True,39,41,209,33,TT,j30
19,5,0.0330068,True,48,742,4084,33,TT,j30
19,6,0.103607,True,49,6797,27864,33,TT,j30
19,7,0.0606764,True,57,3738,14599,33,TT,j30
19,8,0.013842,True,55,183,786,33,TT,j30
19,9,0.0220652,True,38,337,1855,33,TT,j30
19,10,0.107748,True,47,5543,26360,33,TT,j30
20,1,0.0107792,True,57,131,565,33,TT,j30
20,2,0.00678249,True,70,73,275,33,TT,j30
20,3,0.00868618,True,49,83,378,33,TT,j30
20,4,0.00768036,True,43,53,273,33,TT,j30
20,5,0.00409534,True,61,38,124,33,TT,j30
20,6,0.00802907,True,51,55,266,33,TT,j30
20,7,0.00933361,True,42,94,382,33,TT,j30
20,8,0.00946467,True,51,106,461,33,TT,j30
20,9,0.0128095,True,41,100,547,33,TT,j30
20,10,0.00797889,True,37,73,309,33,TT,j30
21,1,21.6616,True,84,1299571,4735740,33,TT,j30
21,2,12.2788,True,59,492148,2071752,33,TT,j30
21,3,29.714,True,76,1526019,5644829,33,TT,j30
21,4,12.9421,True,77,511800,2049881,33,TT,j30
21,5,3.75599,True,55,114329,575362,33,TT,j30
21,6,167.121,True,76,7192337,30998840,33,TT,j30
21,7,8.20075,True,65,269126,1236537,33,TT,j30
21,8,22.5688,True,62,716680,3332500,33,TT,j30
21,9,300.0,False,0,11526517,50343374,0,TT,j30
21,10,12.0646,True,69,536199,2171778,33,TT,j30
22,1,0.0214759,True,42,519,2385,33,TT,j30
22,2,0.0413487,True,45,1387,6339,33,TT,j30
22,3,20.901,True,63,1297822,4274376,33,TT,j30
22,4,0.114442,True,42,4861,24251,33,TT,j30
22,5,15.6597,True,52,574989,2799905,33,TT,j30
22,6,4.33109,True,52,148570,753157,33,TT,j30
22,7,2.07661,True,60,78292,353315,33,TT,j30
22,8,53.3411,True,55,2324167,9922404,33,TT,j30
22,9,0.00468358,True,76,97,396,33,TT,j30
22,10,1.92712,True,55,86307,388314,33,TT,j30
23,1,0.00604401,True,63,53,188,33,TT,j30
23,2,0.0117404,True,53,116,476,33,TT,j30
23,3,0.0081512,True,46,74,320,33,TT,j30
23,4,0.0424976,True,65,960,4537,33,TT,j30
23,5,0.336246,True,52,9323,53439,33,TT,j30
23,6,0.0942907,True,48,8044,26361,33,TT,j30
23,7,0.0424127,True,60,1603,7836,33,TT,j30
23,8,0.0121041,True,48,461,1866,33,TT,j30
23,9,0.21858,True,63,7907,36771,33,TT,j30
23,10,0.00588941,True,61,78,288,33,TT,j30
24,1,0.00378114,True,53,88,319,33,TT,j30
24,2,0.00885804,True,58,133,703,33,TT,j30
24,3,0.00223905,True,69,59,237,33,TT,j30
24,4,0.0052404,True,53,51,206,33,TT,j30
24,5,0.00345328,True,51,46,171,33,TT,j30
24,6,0.00709922,True,56,120,580,33,TT,j30
24,7,0.0177931,True,44,712,2939,33,TT,j30
24,8,0.00734166,True,38,67,336,33,TT,j30
24,9,0.0112649,True,43,98,537,33,TT,j30
24,10,0.00550942,True,53,49,204,33,TT,j30
25,1,300.0,False,0,8362507,41025504,0,TT,j30
25,2,300.0,False,0,10186418,45601735,0,TT,j30
25,3,300.0,False,0,7321346,38289972,0,TT,j30
25,4,300.0,False,0,8319154,40521049,0,TT,j30
25,5,300.0,False,0,8704865,42569243,0,TT,j30
25,6,251.188,True,58,7485690,35517764,33,TT,j30
25,7,300.0,False,0,10532130,45909914,0,TT,j30
25,8,300.0,False,0,8387333,40233182,0,TT,j30
25,9,300.0,False,0,14028381,54758523,0,TT,j30
25,10,300.0,False,0,9804816,43483303,0,TT,j30
26,1,0.158907,True,59,8658,31735,33,TT,j30
26,2,0.00240989,True,40,43,165,33,TT,j30
26,3,0.0719946,True,58,115,424,33,TT,j30
26,4,0.00315343,True,62,80,382,33,TT,j30
26,5,300.0,False,0,21924414,62672814,0,TT,j30
26,6,0.224345,True,53,6555,30672,33,TT,j30
26,7,0.0786429,True,56,237,1139,33,TT,j30
26,8,0.381979,True,66,11751,50119,33,TT,j30
26,9,0.709656,True,43,19447,99322,33,TT,j30
26,10,2.18219,True,49,58260,324431,33,TT,j30
27,1,0.00417933,True,43,113,560,33,TT,j30
27,2,0.0140618,True,58,367,1649,33,TT,j30
27,3,0.0174095,True,60,567,2405,33,TT,j30
27,4,0.0012323,True,64,52,148,33,TT,j30
27,5,0.00732782,True,49,217,897,33,TT,j30
27,6,0.00544725,True,59,49,189,33,TT,j30
27,7,0.103011,True,49,4361,20304,33,TT,j30
27,8,0.00188966,True,66,52,203,33,TT,j30
27,9,0.00635055,True,55,124,404,33,TT,j30
27,10,0.0142393,True,62,337,1621,33,TT,j30
28,1,0.00523019,True,69,34,150,33,TT,j30
28,2,0.00532891,True,57,46,178,33,TT,j30
28,3,0.00959793,True,40,95,429,33,TT,j30
28,4,0.0056594,True,49,61,193,33,TT,j30
28,5,0.00534049,True,73,47,151,33,TT,j30
28,6,0.00391783,True,55,36,111,33,TT,j30
28,7,0.00920817,True,48,94,376,33,TT,j30
28,8,0.00728917,True,53,54,232,33,TT,j30
28,9,0.00530883,True,62,43,156,33,TT,j30
28,10,0.00682579,True,59,64,247,33,TT,j30
29,1,300.0,False,0,9794518,45573081,0,TT,j30
29,2,300.0,False,0,6910116,36794241,0,TT,j30
29,3,300.0,False,0,7314204,38147146,0,TT,j30
29,4,300.0,False,0,9014985,39223027,0,TT,j30
29,5,300.0,False,0,7231010,36180289,0,TT,j30
29,6,300.0,False,0,7952180,38516315,0,TT,j30
29,7,302.422,False,0,8006956,36936606,0,TT,j30
29,8,300.0,False,0,5594500,34890671,0,TT,j30
29,9,302.674,False,0,7082791,37210051,0,TT,j30
29,10,300.0,False,0,10982352,41957856,0,TT,j30
30,1,198.96,True,47,5761497,26818765,33,TT,j30
30,2,22.4222,True,68,793967,3291256,33,TT,j30
30,3,15.8398,True,55,712237,2660756,33,TT,j30
30,4,2.8829,True,53,107928,435559,33,TT,j30
30,5,0.645474,True,54,20804,92375,33,TT,j30
30,6,49.9965,True,62,2158371,8551486,33,TT,j30
30,7,0.590231,True,68,22145,92241,33,TT,j30
30,8,4.8776,True,46,132326,671519,33,TT,j30
30,9,4.34092,True,46,127550,651226,33,TT,j30
30,10,32.7879,True,53,1189007,5310088,33,TT,j30
31,1,0.0109154,True,43,160,797,33,TT,j30
31,2,0.0399321,True,63,789,4522,33,TT,j30
31,3,0.00528425,True,58,134,598,33,TT,j30
31,4,0.0171213,True,50,429,2128,33,TT,j30
31,5,0.821982,True,52,49822,156726,33,TT,j30
31,6,0.00415695,True,53,87,478,33,TT,j30
31,7,0.00308235,True,61,89,393,33,TT,j30
31,8,0.00303671,True,58,100,385,33,TT,j30
31,9,13.4078,True,50,444953,1862330,33,TT,j30
31,10,52.1569,True,55,1920924,7826328,33,TT,j30
32,1,0.00164001,True,61,50,178,33,TT,j30
32,2,0.00223926,True,60,61,269,33,TT,j30
32,3,0.00356789,True,57,45,153,33,TT,j30
32,4,0.00215847,True,68,40,158,33,TT,j30
32,5,0.00752568,True,54,81,398,33,TT,j30
32,6,0.0210401,True,44,529,2555,33,TT,j30
32,7,0.00361712,True,35,50,220,33,TT,j30
32,8,0.00353457,True,54,51,199,33,TT,j30
32,9,0.00669887,True,65,110,451,33,TT,j30
32,10,0.00258775,True,51,66,291,33,TT,j30
