Group,Exam,LBER,CP
31,4,68,68
31,5,72,72
31,6,72,72
31,7,76,76
31,8,75,75
31,9,86,86
31,10,56,56
32,1,69,69
32,2,114,114
32,3,85,85
32,4,56,56
32,5,77,77
32,6,93,93
32,7,76,76
32,8,76,76
32,9,74,74
32,10,77,77
33,1,95,90
33,2,100,100
33,3,79,77
33,4,78,75
33,5,102,97
33,6,68,65
33,7,72,66
33,8,77,74
33,9,102,102
33,10,78,69
34,1,69,67
34,2,68,65
34,3,61,61
34,4,83,83
34,5,80,80
34,6,81,77
34,7,83,83
34,8,63,61
34,9,77,77
34,10,92,92
35,1,78,78
35,2,77,77
35,3,88,87
35,4,72,72
35,5,76,75
35,6,79,79
35,7,73,73
35,8,78,75
35,9,76,73
35,10,71,70
36,1,61,61
36,2,75,75
36,3,81,81
36,4,85,85
36,5,57,57
36,6,76,76
36,7,71,71
36,8,69,69
36,9,86,86
36,10,77,77
37,1,78,70
37,2,76,68
37,3,124,97
37,4,86,75
37,5,84,80
37,6,87,62
37,7,90,75
37,8,89,79
37,9,84,77
37,10,91,86
38,1,73,73
38,2,71,71
38,3,77,76
38,4,58,58
38,5,103,103
38,6,86,86
38,7,74,74
38,8,70,68
38,9,66,66
38,10,64,63
39,1,80,80
39,2,84,84
39,3,83,83
39,4,92,92
39,5,73,73
39,6,84,83
39,7,68,68
39,8,77,77
39,9,72,72
39,10,74,74
40,1,86,86
40,2,81,81
40,3,70,70
40,4,87,87
40,5,83,83
40,6,69,69
40,7,68,68
40,8,80,80
40,9,90,90
40,10,73,73
41,1,98,91
41,2,90,81
41,3,80,58
41,4,106,100
41,5,97,67
41,6,105,82
41,7,116,79
41,8,109,95
41,9,105,80
41,10,103,71
42,1,83,83
42,2,68,68
42,3,73,73
42,4,99,94
42,5,73,73
42,6,82,82
42,7,55,55
42,8,78,78
42,9,70,70
42,10,87,87
43,1,108,108
43,2,85,85
43,3,74,74
43,4,74,74
43,5,64,64
43,6,84,84
43,7,89,89
43,8,69,69
43,9,70,70
43,10,78,78
44,1,84,84
44,2,68,68
44,3,87,87
44,4,77,77
44,5,74,74
44,6,81,81
44,7,76,76
44,8,83,83
44,9,65,65
44,10,65,65
45,1,85,71
45,2,121,78
45,3,121,86
45,4,94,60
45,5,95,60
45,6,119,80
45,7,104,74
45,8,111,79
45,9,104,78
45,10,98,61
46,1,78,78
46,2,78,78
46,3,79,79
46,4,71,71
46,5,85,82
46,6,87,87
46,7,75,75
46,8,73,72
46,9,64,60
46,10,81,79
47,1,75,75
47,2,66,66
47,3,69,69
47,4,76,76
47,5,87,87
47,6,76,76
47,7,68,68
47,8,71,71
47,9,76,76
47,10,66,66
48,1,71,71
48,2,87,87
48,3,84,84
48,4,62,62
48,5,101,101
48,6,66,66
48,7,77,77
48,8,88,88
48,9,82,82
48,10,70,70
