Group,Exam,CP,HRES,LBCS,LBCC,LBIP0,LBRC,t_cp_us,t_hres_us,t_lbcs_us,t_lbcc_us,t_lbip0_us,t_lbrc_us
6,7,60,37.6667,60,60,60,38,0,4,8,19,140,3
6,8,72,49.9167,72,72,72,50,0,4,7,16,122,3
6,9,64,39.9524,64,64,64,40,0,4,8,20,128,3
6,10,74,45.6316,74,74,74,46,0,4,7,17,123,3
7,1,77,35.6129,77,77,77,36,0,4,9,18,120,3
7,2,85,39.5238,85,85,85,40,0,4,9,18,123,3
7,3,62,34.2222,62,62,62,35,0,4,8,18,137,3
7,4,63,40,63,63,63,40,0,4,7,19,133,3
7,5,71,35.4333,71,71,71,36,0,3,9,17,112,3
7,6,65,37.5,65,65,65,38,0,4,8,16,119,3
7,7,89,31.3214,89,89,89,32,0,4,8,17,119,3
7,8,66,33.0714,66,66,66,34,0,5,9,20,117,3
7,9,44,27.62,44,44,44,28,0,5,9,19,139,3
7,10,82,32.4688,82,82,82,33,0,4,8,16,118,3
8,1,64,26.3611,64,64,64,27,0,4,8,16,116,3
8,2,61,28.3542,61,61,61,29,0,4,7,18,133,3
8,3,79,38.36,79,79,79,39,0,4,8,17,119,3
8,4,64,29.6471,64,64,64,30,0,4,7,17,128,4
8,5,83,37.1667,83,83,83,38,0,5,11,19,137,3
8,6,56,25.5263,56,56,56,26,0,4,7,17,122,3
8,7,62,26.9737,62,62,62,27,0,4,7,17,122,3
8,8,66,26.8293,66,66,66,27,0,4,7,17,123,3
8,9,58,22.8298,58,58,58,23,0,4,6,16,122,3
8,10,97,35.7407,97,97,97,36,0,4,9,17,115,3
9,1,59,78.3684,59,80,59,79,0,5,6,17,146,3
9,2,71,70,71,71,71,70,0,5,9,18,126,3
9,3,65,83.1176,69,84,73,84,0,6,7,21,139,3
9,4,65,68.7647,65,70,70,69,0,5,8,21,145,3
9,5,52,75.2222,52,76,54,76,0,6,9,19,150,4
9,6,90,89.3,90,92,90,90,0,5,8,18,129,3
9,7,74,89.4737,74,91,74,90,0,5,7,18,140,3
9,8,65,80.0588,65,82,65,81,0,5,7,17,129,3
9,9,80,85.2778,80,88,80,86,0,5,9,20,141,3
9,10,65,80.4,65,81,65,81,0,5,8,20,135,3
10,1,85,52.28,85,85,85,53,0,5,8,18,146,3
10,2,62,41.7073,62,62,62,42,0,5,7,19,149,3
10,3,72,56.8077,72,72,72,57,0,5,8,17,138,3
10,4,80,52.375,80,80,80,53,0,5,9,18,138,3
10,5,79,55.4643,79,79,79,56,0,6,9,20,149,4
10,6,67,45.0909,67,67,67,46,0,6,8,22,148,4
10,7,69,50.4242,69,69,69,51,0,5,6,18,133,3
10,8,64,47.52,64,64,64,48,0,5,8,20,142,3
10,9,73,51.4286,73,73,73,52,0,6,8,21,143,3
10,10,73,43.8065,73,73,73,44,0,6,8,20,154,4
11,1,71,46.6,71,71,71,47,0,5,6,17,140,3
11,2,61,37.4595,61,61,61,38,0,5,6,18,137,3
11,3,76,44.2286,76,76,76,45,0,5,7,18,135,3
11,4,69,43,69,69,69,43,0,5,9,18,132,3
11,5,65,39.8485,65,65,65,40,0,6,7,21,153,4
11,6,70,47,70,70,70,47,0,5,8,20,136,3
11,7,70,40.2619,70,70,70,41,0,6,7,18,140,3
11,8,69,37,69,69,69,37,0,5,7,17,133,3
11,9,62,31.48,62,62,62,32,0,5,7,17,138,3
11,10,58,34.5143,58,58,58,35,0,5,6,17,137,3
12,1,59,22.8358,59,59,59,23,0,5,6,17,142,3
12,2,58,26.1818,58,58,58,27,0,4,7,17,136,3
12,3,75,37.3409,75,75,75,38,0,5,7,19,145,3
12,4,69,24.1364,69,69,69,25,0,5,8,18,137,3
12,5,63,30.9412,63,63,63,31,0,5,7,18,141,3
12,6,54,27.4444,54,54,54,28,0,6,8,20,149,3
12,7,71,25.7414,71,71,71,26,0,5,8,19,147,3
12,8,60,24.2593,60,60,60,25,0,5,8,17,130,3
12,9,59,28.7647,59,59,59,29,0,5,7,18,138,3
12,10,79,31.8333,79,79,79,32,0,5,9,18,127,3
13,1,69,101.5,69,102,69,102,0,5,7,18,123,2
13,2,66,99.6842,66,100,66,100,0,6,9,20,151,2
13,3,57,80.3333,57,81,57,81,0,5,7,18,129,2
13,4,62,88.7083,62,92,62,89,0,5,6,16,128,2
13,5,53,88.3,53,89,53,89,0,5,7,16,130,2
13,6,61,84.6,61,85,61,85,0,5,7,17,141,2
13,7,54,76.3462,54,77,54,77,0,6,7,17,143,2
13,8,69,102.353,69,106,72,103,0,5,7,18,133,2
13,9,67,90.4762,67,91,67,91,0,6,9,19,142,2
13,10,63,108.55,63,109,63,109,0,5,6,17,140,2
14,1,59,48.5128,59,59,59,49,0,6,8,20,143,2
14,2,65,50.9,65,65,65,51,0,5,7,17,135,2
14,3,61,53,61,61,61,53,0,5,7,17,121,2
14,4,65,52.8286,65,65,65,53,0,5,6,18,133,2
14,5,59,48.0769,59,59,59,49,0,6,9,20,141,3
14,6,65,52.3333,65,65,65,53,0,5,7,18,124,2
14,7,69,53.8108,69,69,69,54,0,5,7,18,130,2
14,8,88,54.6667,88,88,88,55,0,5,10,18,128,2
14,9,61,47.0556,61,61,61,48,0,5,7,18,134,2
14,10,67,61.3667,67,67,67,62,0,5,7,18,124,2
15,1,84,43.2653,84,84,84,44,0,5,8,17,127,2
15,2,89,54.2368,89,89,89,55,0,6,9,20,143,2
15,3,72,35.9231,72,72,72,36,0,6,8,18,133,2
15,4,75,46.5476,75,75,75,47,0,6,8,20,141,3
15,5,70,46,70,70,70,46,0,5,7,17,129,2
15,6,76,45.4857,76,76,76,46,0,5,8,17,130,2
15,7,64,43.4167,64,64,64,44,0,6,6,17,143,2
15,8,79,47.2105,79,79,79,48,0,5,9,18,124,2
15,9,72,33.5167,72,72,72,34,0,5,7,17,139,2
15,10,61,34.3542,61,61,61,35,0,5,6,17,138,2
16,1,64,33.7097,64,64,64,34,0,5,7,18,125,2
16,2,64,24.3099,64,64,64,25,0,6,8,17,138,2
16,3,53,26.7869,53,53,53,27,0,5,8,18,147,2
16,4,60,30.58,60,60,60,31,0,5,8,17,127,2
16,5,66,28.1094,66,66,66,29,0,5,7,17,131,2
16,6,66,35.0182,66,66,66,36,0,6,7,19,136,2
16,7,82,39.6889,82,82,82,40,0,5,9,17,128,2
16,8,68,29.4848,68,68,68,30,0,5,8,17,131,2
16,9,54,27.9571,54,54,54,28,0,5,6,16,132,2
16,10,68,34.7455,68,68,68,35,0,5,7,17,125,2
17,1,76,42.6923,76,76,78,43,0,2,8,15,78,2
17,2,67,49.6923,67,67,67,50,0,2,9,21,84,2
17,3,79,64.6667,79,79,83,65,0,2,8,15,75,1
17,4,69,35.75,69,69,70,36,0,3,9,17,85,2
17,5,52,35.4545,52,52,54,36,0,2,7,15,78,2
17,6,67,37.8667,67,67,67,38,0,2,7,14,78,2
17,7,81,49.8889,81,81,81,50,0,2,8,15,79,2
17,8,66,52.9333,66,66,69,53,0,2,7,14,76,2
17,9,70,51.4,70,70,75,52,0,3,9,16,84,2
17,10,65,46.6429,65,65,68,47,0,2,7,15,76,2
18,1,80,33.0769,80,80,80,34,0,2,7,15,74,2
18,2,69,36.5,69,69,69,37,0,2,8,16,76,2
18,3,77,35.3333,77,77,77,36,0,2,8,15,76,2
18,4,71,35.2222,71,71,71,36,0,2,7,15,79,2
18,5,80,28.2,80,80,80,29,0,2,9,16,78,1
18,6,61,29.4667,61,61,61,30,0,2,7,14,73,2
18,7,87,37.2143,87,87,89,38,0,2,8,15,70,1
18,8,78,34.5,78,78,78,35,0,2,9,16,80,2
18,9,69,34.3529,69,69,69,35,0,2,8,15,73,2
18,10,97,35.1667,97,97,97,36,0,3,9,16,82,2
19,1,62,27.4762,62,62,62,28,0,3,6,15,79,2
19,2,83,32.4375,83,83,83,33,0,2,8,15,78,2
19,3,81,29.3684,81,81,83,30,0,2,7,15,75,2
19,4,67,31.3158,67,67,67,32,0,2,7,15,78,2
19,5,73,27.9286,73,73,73,28,0,2,8,17,75,2
19,6,68,26.4211,68,68,68,27,0,3,8,17,81,2
19,7,60,23.5,60,60,60,24,0,2,8,15,80,2
19,8,82,33.3846,82,82,87,34,0,2,9,14,75,2
19,9,67,29.3333,67,67,67,30,0,2,9,16,85,2
19,10,78,27.28,78,78,78,28,0,3,10,17,75,2
20,1,60,24.7727,60,60,60,25,0,2,7,17,84,2
20,2,78,23.5833,78,78,78,24,0,2,9,15,71,2
20,3,69,21.6897,69,69,69,22,0,3,8,16,81,2
20,4,86,17.3429,86,86,86,18,0,2,9,15,83,1
20,5,71,25.12,71,71,71,26,0,3,8,16,84,2
20,6,97,22.4348,97,97,97,23,0,3,11,14,68,1
20,7,74,23.0541,74,74,74,24,0,3,9,15,79,2
20,8,65,19.2353,65,65,65,20,0,3,8,17,86,2
20,9,74,32.6842,74,74,74,33,0,2,8,15,75,2
20,10,70,27.0952,70,70,70,28,0,3,8,16,82,2
21,1,76,78.1333,76,82,81,79,0,4,9,19,117,4
21,2,92,86.4615,92,92,96,87,0,4,9,18,115,3
21,3,65,66.2857,65,67,67,67,0,3,6,17,107,3
21,4,64,67.8571,64,71,69,68,0,3,8,17,96,3
21,5,75,65.1875,75,75,75,66,0,4,8,16,105,3
21,6,63,61.2143,63,63,67,62,0,4,7,19,112,3
21,7,80,80.0667,80,87,85,81,0,5,9,17,106,3
21,8,85,73.3529,85,85,85,74,0,4,8,16,102,3
21,9,69,67.5,69,69,69,68,0,5,8,18,123,3
21,10,51,64.6923,51,65,56,65,0,5,8,18,122,3
22,1,62,41.3478,62,62,62,42,0,4,7,16,106,3
22,2,83,49,83,83,83,49,0,4,7,17,109,3
22,3,70,40.25,70,70,70,41,0,4,9,16,110,3
22,4,64,53.4167,64,64,69,54,0,4,6,16,107,3
22,5,76,51.7368,76,76,76,52,0,4,9,19,126,3
22,6,79,44.1111,79,79,79,45,0,4,9,19,130,4
22,7,69,48.96,69,69,69,49,0,5,8,18,116,3
22,8,59,39.75,59,59,59,40,0,4,7,17,112,3
22,9,65,37.3667,65,65,65,38,0,5,8,18,123,3
22,10,69,43.125,69,69,70,44,0,4,7,16,110,3
23,1,75,39,75,75,75,39,0,4,7,17,112,3
23,2,69,31.303,69,69,69,32,0,4,8,19,123,3
23,3,75,40.5882,75,75,78,41,0,5,8,19,105,3
23,4,83,40,83,83,83,40,0,4,8,17,111,3
23,5,72,35.9118,72,72,72,36,0,4,8,17,113,3
23,6,81,44.4737,81,81,81,45,0,4,9,18,103,3
23,7,60,37.7826,60,60,60,38,0,4,8,18,112,3
23,8,72,41.9286,72,72,72,42,0,4,6,16,106,3
23,9,64,36.5333,64,64,64,37,0,4,6,17,111,3
23,10,68,32.037,68,68,68,33,0,4,9,17,108,3
24,1,65,30.8,65,65,65,31,0,4,8,17,107,3
24,2,55,23.55,55,55,55,24,0,4,8,17,110,3
24,3,67,26.6667,67,67,67,27,0,5,8,20,124,3
24,4,78,34.36,78,78,78,35,0,4,9,17,108,3
24,5,76,35,76,76,76,35,0,5,9,19,126,3
24,6,75,32.3704,75,75,75,33,0,4,9,17,111,3
24,7,68,35.5455,68,68,68,36,0,4,7,17,107,3
24,8,81,36,81,81,81,36,0,4,8,19,121,3
24,9,80,38,80,80,80,38,0,4,7,17,112,3
24,10,66,30.5185,66,66,66,31,0,4,8,20,124,3
25,1,71,92.2,71,93,75,93,0,6,8,20,128,4
25,2,69,76.0556,69,78,70,77,0,5,8,17,124,3
25,3,90,94.6875,90,95,90,95,0,6,10,21,133,4
25,4,78,84.5294,78,87,78,85,0,5,9,18,112,3
25,5,61,77.4118,61,80,65,78,0,5,7,17,119,3
25,6,75,91.9474,75,94,78,92,0,5,7,17,120,3
25,7,66,75.25,66,76,68,76,0,5,7,17,118,3
25,8,57,82.5625,57,85,58,83,0,5,7,18,124,3
25,9,69,77.3529,69,79,73,78,0,5,9,20,129,3
25,10,77,85.9412,77,86,80,86,0,5,7,17,109,3
26,1,80,55.44,80,80,80,56,0,5,9,19,125,3
26,2,63,52.6667,63,63,63,53,0,6,8,21,126,3
26,3,71,56,71,71,71,56,0,5,7,19,129,3
26,4,65,53.2069,65,65,65,54,0,5,8,17,127,4
26,5,61,44.8148,61,61,61,45,0,5,7,18,120,3
26,6,73,57.3478,73,73,73,58,0,5,7,18,127,3
26,7,72,45.72,72,72,72,46,0,6,8,21,138,3
26,8,89,59.1154,89,89,89,60,0,5,9,19,121,3
26,9,62,49.7941,62,62,62,50,0,5,5,19,122,3
26,10,85,54.56,85,85,85,55,0,5,9,18,112,3
27,1,96,53.7917,96,96,96,54,0,5,9,18,113,3
27,2,74,47.9167,74,74,74,48,0,5,9,18,113,3
27,3,76,46.5625,76,76,76,47,0,5,8,20,126,3
27,4,60,36.9688,60,60,60,37,0,5,6,18,123,3
27,5,78,49.5714,78,78,78,50,0,5,8,17,122,3
27,6,64,41.4545,64,64,64,42,0,5,6,17,125,3
27,7,83,41.2222,83,83,83,42,0,6,9,19,127,3
27,8,88,49.16,88,88,88,50,0,5,8,18,122,3
27,9,76,41.7838,76,76,76,42,0,5,7,18,124,3
27,10,57,36.4359,57,57,57,37,0,5,6,18,130,3
28,1,92,39.5938,92,92,92,40,0,6,10,19,119,3
28,2,64,30.5312,64,64,64,31,0,6,8,20,137,3
28,3,72,33.1333,72,72,72,34,0,5,9,17,112,3
28,4,84,42.6944,84,84,84,43,0,5,8,18,124,3
28,5,71,26.7895,71,71,71,27,0,5,8,19,137,3
28,6,89,39.8378,89,89,89,40,0,5,10,20,129,4
28,7,75,24.8679,75,75,75,25,0,5,8,18,117,3
28,8,62,36,62,62,62,36,0,5,8,21,134,3
28,9,74,34.6739,74,74,74,35,0,5,7,17,124,3
28,10,74,33.1875,74,74,74,34,0,5,7,18,126,3
29,1,59,90.0476,59,92,60,91,0,5,7,17,113,2
29,2,88,103.188,88,106,89,104,0,6,10,18,102,2
29,3,72,105.75,72,108,73,106,0,6,9,19,126,2
29,4,75,108.947,75,111,80,109,0,5,7,18,124,3
29,5,77,93.3158,77,94,77,94,0,6,9,18,129,2
29,6,77,139.188,77,140,85,140,0,6,8,19,119,2
29,7,73,107.167,73,108,76,108,0,5,8,18,113,2
29,8,72,84.2273,72,85,72,85,0,5,7,17,125,2
29,9,70,93.4444,70,94,72,94,0,6,7,20,133,2
29,10,70,106.136,70,107,70,107,0,5,7,17,128,2
30,1,70,55.3667,70,70,70,56,0,6,7,18,119,2
30,2,65,61.2667,65,65,65,62,0,5,8,18,119,2
30,3,80,64,80,80,80,64,0,5,7,18,120,2
30,4,76,50.8889,76,76,76,51,0,6,8,20,131,2
30,5,72,63.2647,72,72,72,64,0,5,8,17,114,2
30,6,68,47.8788,68,68,68,48,0,5,7,17,121,2
30,7,77,70.4483,77,77,77,71,0,5,7,18,119,2
30,8,63,46.0263,63,63,63,47,0,5,7,17,124,2
30,9,98,76.6667,98,98,98,77,0,5,9,17,117,2
30,10,81,71.3939,81,81,81,72,0,5,8,17,129,2
31,1,65,43.5238,65,65,65,44,0,6,6,18,124,2
31,2,74,47.3409,74,74,74,48,0,5,8,18,120,2
31,3,66,40.2727,66,66,66,41,0,7,8,19,131,2
31,4,68,45.3056,68,68,68,46,0,5,7,18,124,2
31,5,72,39.5227,72,72,72,40,0,5,6,17,131,2
31,6,72,49.2128,72,72,72,50,0,5,6,17,125,2
31,7,76,52.6286,76,76,76,53,0,5,9,16,112,2
31,8,75,51.7027,75,75,75,52,0,5,8,17,107,2
31,9,86,52,86,86,86,52,0,5,7,17,124,2
31,10,56,37.6585,56,56,56,38,0,5,6,16,118,2
32,1,69,29.6167,69,69,69,30,0,6,8,18,153,2
32,2,114,46.1591,114,114,114,47,0,6,10,20,132,2
32,3,85,42.7059,85,85,85,43,0,5,7,18,115,2
32,4,56,29.1321,56,56,56,30,0,5,7,18,125,2
32,5,77,40.9545,77,77,77,41,0,5,8,18,118,2
32,6,93,41.3947,93,93,93,42,0,6,11,20,131,2
32,7,76,38,76,76,76,38,0,5,8,18,121,2
32,8,76,32.8269,76,76,76,33,0,5,7,17,120,2
32,9,74,42.9756,74,74,74,43,0,5,8,17,123,2
32,10,77,42.1556,77,77,77,43,0,6,8,18,123,2
33,1,90,49.9231,90,90,95,50,0,2,8,15,70,2
33,2,100,57.2727,100,100,100,58,0,2,9,15,70,2
33,3,77,45.9091,77,77,79,46,0,2,8,16,72,2
33,4,75,43.6923,75,75,78,44,0,3,8,17,79,2
33,5,97,53.6667,97,97,102,54,0,2,8,15,66,2
33,6,65,45.9231,65,65,67,46,0,2,7,15,69,1
33,7,66,46.1,66,66,70,47,0,2,6,14,70,2
33,8,74,60.6429,74,74,74,61,0,2,8,15,70,2
33,9,102,48.5385,102,102,102,49,0,2,8,15,65,2
33,10,69,52,69,69,74,52,0,2,7,14,70,2
34,1,67,33.3529,67,67,69,34,0,2,7,14,79,3
34,2,65,32.6429,65,65,68,33,0,2,7,15,70,1
34,3,61,30.4706,61,61,61,31,0,2,6,15,71,2
34,4,83,33.75,83,83,83,34,0,2,8,15,70,2
34,5,80,29,80,80,80,29,0,2,8,15,66,2
34,6,77,32.6471,77,77,79,33,1,3,11,18,78,2
34,7,83,37.1364,83,83,83,38,0,2,8,15,69,2
34,8,61,32.3125,61,61,62,33,0,2,7,16,72,2
34,9,77,38.8,77,77,77,39,0,2,8,14,76,2
34,10,92,43,92,92,92,43,0,2,8,14,67,2
35,1,78,28.5294,78,78,78,29,0,3,9,18,84,2
35,2,77,30.6087,77,77,77,31,0,3,9,17,75,2
35,3,87,34.7647,87,87,89,35,0,3,9,15,68,2
35,4,72,36.85,72,72,72,37,0,3,9,16,80,2
35,5,75,28.55,75,75,75,29,0,2,8,16,64,2
35,6,79,32,79,79,79,32,0,2,7,15,67,2
35,7,73,29.5625,73,73,73,30,0,2,8,14,65,2
35,8,75,29.3125,75,75,78,30,0,3,9,17,77,2
35,9,73,36.0526,73,73,76,37,0,3,8,15,63,2
35,10,70,31.7647,70,70,70,32,0,2,8,14,68,2
36,1,61,25.2778,61,61,61,26,0,2,7,14,68,2
36,2,75,34.9167,75,75,75,35,0,2,8,14,65,2
36,3,81,29.8947,81,81,81,30,0,2,8,15,71,2
36,4,85,24,85,85,85,24,0,3,10,16,78,2
36,5,57,25.5,57,57,57,26,0,3,8,16,76,2
36,6,76,27.45,76,76,76,28,0,3,7,16,77,2
36,7,71,22.6957,71,71,71,23,0,2,7,14,68,2
36,8,69,30,69,69,69,30,0,2,8,15,69,2
36,9,86,19.3684,86,86,86,20,0,3,10,17,76,2
36,10,77,30.2667,77,77,77,31,0,2,7,14,67,2
37,1,70,71.9333,70,75,76,72,0,4,7,16,96,3
37,2,68,68.2,68,72,71,69,0,5,7,18,105,3
37,3,97,103.357,97,105,105,104,0,4,8,16,102,3
37,4,75,70.6429,75,75,79,71,0,4,7,17,100,3
37,5,80,66.125,80,80,80,67,0,4,8,17,93,3
37,6,62,78.6667,62,81,68,79,0,5,7,19,103,3
37,7,75,82.1333,75,83,75,83,0,4,7,16,93,3
37,8,79,67.6,79,79,81,68,0,5,9,19,110,3
37,9,77,68.0667,77,77,80,69,0,5,10,20,114,4
37,10,86,65.3125,86,86,90,66,0,4,8,17,104,3
38,1,73,52.1818,73,73,73,53,0,4,9,16,99,3
38,2,71,60.3684,71,71,71,61,0,4,7,17,103,3
38,3,76,52.4444,76,76,77,53,0,4,9,19,112,3
38,4,58,42.8696,58,58,58,43,0,4,7,17,103,3
38,5,103,59.8571,103,103,103,60,0,4,11,19,108,3
38,6,86,50.5294,86,86,86,51,0,4,7,17,103,3
38,7,74,46.16,74,74,74,47,0,4,8,16,97,3
38,8,68,49.4348,68,68,68,50,0,4,6,17,115,4
38,9,66,39.5455,66,66,66,40,0,4,7,17,97,3
38,10,63,44.1739,63,63,63,45,0,4,8,17,103,3
39,1,80,41.7273,80,80,80,42,0,4,8,17,96,3
39,2,84,37.6897,84,84,84,38,0,5,8,20,120,3
39,3,83,42.4762,83,83,83,43,0,5,11,25,114,3
39,4,92,52.4286,92,92,92,53,0,4,8,17,95,3
39,5,73,38.6364,73,73,73,39,0,4,7,16,101,3
39,6,83,47.8,83,83,83,48,0,4,8,31,94,3
39,7,68,37.0476,68,68,68,38,0,4,7,17,103,3
39,8,77,35.4231,77,77,77,36,0,4,8,18,105,3
39,9,72,39.3043,72,72,72,40,0,4,8,17,103,3
39,10,74,39.6,74,74,74,40,0,4,7,17,102,3
40,1,86,38.8333,86,86,86,39,0,4,8,17,94,3
40,2,81,32.4103,81,81,81,33,0,5,9,17,97,3
40,3,70,31.2581,70,70,70,32,0,4,7,17,98,3
40,4,87,36,87,87,87,36,0,4,10,19,107,4
40,5,83,36.48,83,83,83,37,0,4,11,23,114,3
40,6,69,30.6071,69,69,69,31,0,4,7,16,100,3
40,7,68,28.7333,68,68,68,29,0,4,8,17,98,3
40,8,80,33.1538,80,80,80,34,0,4,8,17,98,3
40,9,90,34.2414,90,90,90,35,0,4,9,17,89,3
40,10,73,34.4783,73,73,73,35,0,4,8,18,97,3
41,1,91,95.2857,91,96,94,96,0,5,8,18,105,3
41,2,81,85,81,86,84,85,0,6,8,18,108,3
41,3,58,78.6471,58,79,61,79,0,4,7,18,112,3
41,4,100,96.8667,100,100,100,97,0,5,8,18,99,3
41,5,67,92.8125,67,93,71,93,0,5,6,18,114,3
41,6,82,104.6,82,105,90,105,0,5,8,17,100,3
41,7,79,104.643,79,105,87,105,0,6,8,18,91,3
41,8,95,99.5625,95,100,100,100,0,6,9,19,111,3
41,9,80,102.6,80,103,88,103,0,5,8,17,124,3
41,10,71,97.1765,71,99,76,98,0,5,8,18,106,3
42,1,83,50.8929,83,83,83,51,0,5,9,18,111,3
42,2,68,48.92,68,68,68,49,1,7,10,19,132,4
42,3,73,63.4615,73,73,73,64,0,5,8,17,110,3
42,4,94,81.8182,94,94,94,82,0,5,8,17,106,3
42,5,73,49.25,73,73,73,50,0,5,8,18,101,3
42,6,82,59.96,82,82,82,60,0,5,9,17,97,3
42,7,55,43,55,55,55,43,0,5,7,17,117,3
42,8,78,62.0435,78,78,78,63,0,5,8,18,112,3
42,9,70,52.3448,70,70,70,53,0,5,8,18,108,3
42,10,87,65.0455,87,87,87,66,0,5,8,18,116,3
43,1,108,56.6452,108,108,108,57,0,5,9,17,104,3
43,2,85,57.56,85,85,85,58,0,5,8,17,104,3
43,3,74,41.1143,74,74,74,42,0,5,8,17,106,3
43,4,74,52.4828,74,74,74,53,0,6,8,20,114,3
43,5,64,37.7568,64,64,64,38,0,6,9,20,132,4
43,6,84,45.7333,84,84,84,46,0,5,8,18,108,3
43,7,89,60.4737,89,89,89,61,0,6,10,18,100,3
43,8,69,40.2857,69,69,69,41,0,5,7,18,117,3
43,9,70,46.9286,70,70,70,47,0,5,7,17,108,3
43,10,78,38.1875,78,78,78,39,0,5,9,17,112,3
44,1,84,33.4091,84,84,84,34,0,5,9,17,111,3
44,2,68,32.5714,68,68,68,33,0,5,7,17,108,3
44,3,87,38.4865,87,87,87,39,0,6,8,19,124,3
44,4,77,40.2105,77,77,77,41,0,5,7,17,108,3
44,5,74,40.5946,74,74,74,41,0,5,8,17,104,3
44,6,81,34.775,81,81,81,35,0,5,8,18,107,3
44,7,76,29.8636,76,76,76,30,0,6,9,21,123,3
44,8,83,36.4167,83,83,83,37,0,5,10,21,129,4
44,9,65,32.9024,65,65,65,33,0,5,7,17,118,3
44,10,65,36.0857,65,65,65,37,0,5,7,17,110,3
45,1,71,83.9474,71,84,71,84,0,5,7,17,111,2
45,2,78,117.611,78,118,85,118,0,5,7,17,138,2
45,3,86,118.125,86,119,92,119,0,5,8,18,104,2
45,4,60,92.2941,60,93,62,93,0,6,8,19,114,2
45,5,60,92.8333,60,93,60,93,0,5,7,17,108,2
45,6,80,115.412,80,116,80,116,0,5,7,17,99,2
45,7,74,101.895,74,102,74,102,0,5,8,18,104,2
45,8,79,109.278,79,110,81,110,0,5,8,17,99,2
45,9,78,100.778,78,101,78,101,0,5,7,17,108,2
45,10,61,96.6111,61,97,67,97,0,6,7,19,119,2
46,1,78,60.7778,78,78,78,61,0,5,8,17,108,2
