Group,Exam,CP,HRES,LBCS,LBCC,LBIP0,LBRC,t_cp_us,t_hres_us,t_lbcs_us,t_lbcc_us,t_lbip0_us,t_lbrc_us
41,5,89,112.5,89,113,91,113,1,7,15,27,280,6
41,6,86,111.222,86,114,88,112,1,7,15,28,251,5
41,7,105,133.556,105,134,113,134,1,7,18,30,265,4
41,8,108,136.75,108,137,108,137,1,6,15,27,259,5
41,9,77,102.682,77,103,77,103,1,8,15,25,268,5
41,10,105,135.75,105,136,105,136,1,8,19,29,275,5
42,1,106,76.6,106,106,106,77,1,8,17,29,280,5
42,2,92,77.7143,92,92,92,78,1,7,16,28,261,5
42,3,94,71.6429,94,94,94,72,1,8,16,30,281,5
42,4,102,67.9032,102,102,102,68,1,7,17,27,252,5
42,5,105,78.0833,105,105,105,79,1,8,21,29,260,5
42,6,89,64.5385,89,89,89,65,1,7,19,28,264,5
42,7,83,67.875,83,83,83,68,1,8,17,29,307,6
42,8,105,62.8,105,105,105,63,1,7,16,31,320,6
42,9,82,72.5,82,82,82,73,1,7,14,26,262,5
42,10,85,66.2143,85,85,85,67,1,7,17,26,252,5
43,1,99,65.4062,99,99,99,66,1,10,24,30,289,5
43,2,91,57.0968,91,91,91,58,1,7,14,27,263,5
43,3,102,52.3947,102,102,102,53,1,8,19,28,278,5
43,4,94,61.0857,94,94,94,62,1,7,14,27,269,5
43,5,98,48.0714,98,98,98,49,1,7,15,25,285,5
43,6,114,63.1333,114,114,114,64,1,8,20,29,246,5
43,7,88,56.8718,88,88,88,57,1,8,14,31,267,5
43,8,100,52.6486,100,100,100,53,1,7,17,27,261,5
43,9,88,54.1667,88,88,88,55,1,8,15,29,292,5
43,10,92,54.9773,92,92,92,55,1,8,18,30,278,5
44,1,100,47.5962,100,100,100,48,1,10,19,34,299,6
44,2,92,42.7736,92,92,92,43,1,7,24,28,272,5
44,3,110,45.2692,110,110,110,46,1,7,18,26,256,5
44,4,89,36.3115,89,89,89,37,1,8,17,31,285,5
44,5,84,42.7143,84,84,84,43,1,7,14,27,263,5
44,6,96,49.1053,96,96,96,50,1,7,16,26,282,5
44,7,93,44.1915,93,93,93,45,1,7,14,26,271,5
44,8,99,44.1569,99,99,99,45,1,8,18,29,286,5
44,9,96,48,96,96,96,48,1,8,18,29,284,5
44,10,86,40.5273,86,86,86,41,1,8,20,29,297,5
45,1,93,137.19,93,138,93,138,1,7,14,25,243,3
45,2,89,130.905,89,131,89,131,1,8,13,26,265,4
45,3,101,135.167,101,136,105,136,1,8,20,30,255,3
45,4,76,116.261,76,119,76,117,1,8,14,26,250,3
45,5,98,160.55,98,161,98,161,1,8,16,32,252,3
45,6,106,153.316,106,155,106,154,1,8,15,26,254,4
45,7,81,123.391,81,124,81,124,1,8,16,26,266,4
45,8,97,143.2,97,144,97,144,1,8,17,29,263,4
45,9,96,133.6,96,138,96,134,1,8,15,26,246,3
45,10,88,145.35,88,146,88,146,1,9,14,28,249,6
46,1,103,86.3548,103,103,103,87,1,9,18,30,270,3
46,2,98,73.4242,98,98,98,74,1,15,24,29,262,3
46,3,112,81.4706,112,112,112,82,1,8,18,26,262,3
46,4,88,79.3243,88,88,88,80,1,8,15,26,239,3
46,5,91,70.725,91,91,91,71,1,8,15,29,268,3
46,6,83,63.8,83,83,83,64,1,9,14,28,294,3
46,7,89,69.1176,89,89,89,70,1,8,17,24,255,3
46,8,87,84.9062,87,87,87,85,1,11,15,28,289,3
46,9,74,74.1351,74,78,74,75,1,8,13,24,280,4
46,10,114,81.5946,114,114,114,82,1,9,19,29,276,3
47,1,82,58.26,82,82,82,59,1,9,14,29,303,4
47,2,90,59,90,90,90,59,1,8,16,26,254,3
47,3,102,73.7333,102,102,102,74,1,8,15,26,290,4
