Group,Exam,LBER,CP
20,6,83,83
20,7,82,82
20,8,85,85
20,9,76,76
20,10,89,89
21,1,97,76
21,2,101,93
21,3,101,101
21,4,99,90
21,5,97,80
21,6,93,87
21,7,96,91
21,8,99,85
21,9,106,91
21,10,98,81
22,1,108,108
22,2,85,85
22,3,83,83
22,4,96,96
22,5,96,96
22,6,71,71
22,7,90,90
22,8,97,97
22,9,99,97
22,10,75,75
23,1,90,90
23,2,84,84
23,3,116,116
23,4,85,85
23,5,95,95
23,6,87,87
23,7,77,77
23,8,92,92
23,9,126,126
23,10,87,87
24,1,84,84
24,2,92,92
24,3,69,69
24,4,81,81
24,5,85,85
24,6,79,79
24,7,87,87
24,8,88,88
24,9,80,80
24,10,89,89
25,1,113,94
25,2,119,83
25,3,109,77
25,4,127,95
25,5,109,71
25,6,111,79
25,7,119,77
25,8,129,101
25,9,95,80
25,10,116,96
26,1,90,90
26,2,85,85
26,3,80,80
26,4,96,96
26,5,82,82
26,6,108,108
26,7,82,82
26,8,82,82
26,9,87,87
26,10,92,92
27,1,96,96
27,2,81,81
27,3,91,91
27,4,79,79
27,5,99,99
27,6,87,87
27,7,73,73
27,8,72,72
27,9,84,84
27,10,97,97
28,1,80,80
28,2,76,76
28,3,86,86
28,4,78,78
28,5,88,88
28,6,102,102
28,7,97,97
28,8,110,110
28,9,120,120
28,10,68,68
29,1,121,96
29,2,119,76
29,3,133,87
29,4,135,87
29,5,114,96
29,6,115,77
29,7,157,103
29,8,144,93
29,9,117,81
29,10,116,81
30,1,102,102
30,2,76,76
30,3,102,102
30,4,104,104
30,5,83,83
30,6,90,90
30,7,84,84
30,8,82,82
30,9,90,82
30,10,90,90
31,1,79,79
31,2,69,69
31,3,106,106
31,4,79,79
31,5,79,79
31,6,80,80
31,7,97,97
31,8,83,83
31,9,72,72
31,10,99,99
32,1,78,78
32,2,78,78
32,3,89,89
32,4,104,104
32,5,93,93
32,6,86,86
32,7,87,87
32,8,79,79
32,9,95,95
32,10,91,91
33,1,88,82
33,2,109,107
33,3,108,105
33,4,90,85
33,5,108,106
33,6,88,83
33,7,100,94
33,8,102,99
33,9,89,86
33,10,113,113
34,1,83,83
34,2,89,89
34,3,82,82
34,4,80,76
34,5,81,80
34,6,89,89
34,7,92,92
34,8,81,78
34,9,109,109
34,10,101,101
35,1,98,97
35,2,92,92
35,3,96,96
35,4,86,86
35,5,103,103
35,6,72,72
35,7,78,78
35,8,85,85
35,9,76,76
35,10,82,82
36,1,97,97
36,2,114,114
36,3,84,84
36,4,79,79
36,5,98,98
36,6,99,99
36,7,89,89
36,8,84,84
36,9,102,102
36,10,109,109
37,1,96,84
37,2,101,90
37,3,119,115
37,4,106,86
37,5,103,92
37,6,116,96
37,7,109,97
37,8,104,89
37,9,111,93
37,10,105,89
38,1,84,83
38,2,78,77
38,3,88,88
38,4,89,89
38,5,85,84
38,6,88,88
38,7,85,85
38,8,91,91
38,9,95,95
38,10,108,108
39,1,106,106
39,2,119,119
39,3,83,83
39,4,81,81
39,5,85,85
39,6,102,102
39,7,85,85
39,8,81,81
39,9,79,79
39,10,100,100
40,1,95,95
40,2,91,91
40,3,77,77
40,4,106,106
40,5,92,92
40,6,86,86
40,7,87,87
40,8,79,79
40,9,98,98
40,10,86,86
41,1,125,102
41,2,142,108
41,3,141,106
41,4,137,85
41,5,113,89
41,6,118,86
41,7,138,105
41,8,141,108
41,9,107,77
41,10,141,105
42,1,106,106
42,2,95,92
42,3,94,94
42,4,102,102
42,5,105,105
42,6,89,89
42,7,83,83
42,8,105,105
42,9,82,82
42,10,85,85
43,1,99,99
43,2,91,91
43,3,102,102
43,4,94,94
43,5,98,98
43,6,114,114
43,7,88,88
43,8,100,100
43,9,88,88
43,10,92,92
44,1,100,100
44,2,92,92
44,3,110,110
44,4,89,89
44,5,84,84
44,6,96,96
44,7,93,93
44,8,99,99
44,9,96,96
44,10,86,86
45,1,141,93
45,2,135,89
45,3,137,101
45,4,122,76
45,5,161,98
45,6,156,106
45,7,126,81
45,8,145,97
45,9,139,96
45,10,154,88
46,1,103,103
46,2,98,98
46,3,112,112
46,4,89,88
46,5,91,91
46,6,83,83
46,7,89,89
46,8,93,87
46,9,84,74
46,10,114,114
47,1,82,82
47,2,90,90
47,3,102,102
47,4,93,93
47,5,93,93
47,6,98,98
47,7,94,94
47,8,98,98
47,9,86,86
47,10,65,65
48,1,83,83
48,2,89,89
48,3,86,86
48,4,91,91
48,5,75,75
48,6,114,114
48,7,103,103
48,8,74,74
48,9,89,89
48,10,93,93
