Group,Exam,LBER,CP
28,2,57,57
28,3,40,40
28,4,49,49
28,5,73,73
28,6,55,55
28,7,48,48
28,8,53,53
28,9,62,62
28,10,59,59
29,1,72,62
29,2,70,55
29,3,63,45
29,4,85,54
29,5,87,53
29,6,69,43
29,7,59,41
29,8,69,50
29,9,81,52
29,10,62,51
30,1,44,40
30,2,65,65
30,3,53,53
30,4,51,50
30,5,52,52
30,6,57,54
30,7,63,63
30,8,43,40
30,9,44,44
30,10,48,43
31,1,43,43
31,2,63,63
31,3,58,58
31,4,50,50
31,5,50,48
31,6,53,53
31,7,61,61
31,8,58,58
31,9,48,46
31,10,51,49
32,1,61,61
32,2,60,60
32,3,57,57
32,4,68,68
32,5,54,54
32,6,44,44
32,7,35,35
32,8,54,54
32,9,65,65
32,10,51,51
33,1,64,62
33,2,57,53
33,3,49,42
33,4,76,76
33,5,49,43
33,6,59,52
33,7,58,58
33,8,57,47
33,9,61,55
33,10,53,48
34,1,67,63
34,2,43,42
34,3,69,64
34,4,67,67
34,5,62,59
34,6,52,51
34,7,58,54
34,8,56,50
34,9,60,60
34,10,47,47
35,1,57,57
35,2,53,53
35,3,60,60
35,4,49,48
35,5,60,60
35,6,58,56
35,7,61,59
35,8,63,63
35,9,59,58
35,10,59,55
36,1,66,66
36,2,44,44
36,3,61,61
36,4,59,59
36,5,64,64
36,6,46,46
36,7,56,56
36,8,63,63
36,9,59,59
36,10,59,59
37,1,63,46
37,2,56,49
37,3,74,52
37,4,73,62
37,5,67,59
37,6,59,50
37,7,68,54
37,8,62,57
37,9,51,46
37,10,69,60
38,1,46,46
38,2,54,50
38,3,58,53
38,4,59,56
38,5,68,62
38,6,63,63
38,7,64,63
38,8,57,53
38,9,62,56
38,10,59,57
39,1,55,55
39,2,54,54
39,3,53,53
39,4,53,53
39,5,55,55
39,6,69,60
39,7,56,49
39,8,67,67
39,9,61,58
39,10,59,58
40,1,51,51
40,2,56,56
40,3,57,57
40,4,57,57
40,5,65,65
40,6,60,60
40,7,46,46
40,8,57,57
40,9,64,64
40,10,51,51
41,1,66,50
41,2,68,49
41,3,73,59
41,4,57,47
41,5,79,63
41,6,84,65
41,7,74,56
41,8,67,55
41,9,81,69
41,10,77,59
42,1,58,58
42,2,48,47
42,3,56,54
42,4,46,42
42,5,52,52
42,6,62,58
42,7,66,65
42,8,75,67
42,9,59,59
42,10,75,75
43,1,54,53
43,2,43,43
43,3,55,55
43,4,67,67
43,5,62,62
43,6,58,56
43,7,52,52
43,8,62,62
43,9,56,56
43,10,59,59
44,1,50,50
44,2,54,54
44,3,51,51
44,4,57,57
44,5,55,55
44,6,56,56
44,7,42,42
44,8,49,49
44,9,64,64
44,10,63,63
45,1,65,53
45,2,99,63
45,3,77,57
45,4,67,59
45,5,71,58
45,6,97,70
45,7,85,72
45,8,70,65
45,9,67,50
45,10,76,58
46,1,58,58
46,2,64,64
46,3,64,64
46,4,61,60
46,5,57,56
46,6,56,56
46,7,52,47
46,8,55,55
46,9,47,45
46,10,48,46
47,1,58,58
47,2,59,59
47,3,55,55
47,4,48,48
47,5,45,44
47,6,51,50
47,7,64,60
47,8,48,48
47,9,65,65
47,10,57,57
48,1,63,63
48,2,54,54
48,3,50,50
48,4,57,57
48,5,58,58
48,6,58,58
48,7,55,55
48,8,44,44
48,9,59,59
48,10,54,54
