group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned,dr4_pruned
14,6,300,False,0,3575724,19748412,0,TT2,j60,LBCS_DP,6470024,197,0,6037861
14,7,23.4073,True,69,759426,5018775,63,TT2,j60,LBCS_DP,1112638,3,0,1123222
14,8,0.00122326,True,88,63,291,63,TT2,j60,LBCS_DP,0,0,0,185
14,9,300,False,0,4001549,29497736,0,TT2,j60,LBCS_DP,8937129,4,0,8633001
14,10,300,False,0,4698155,30743031,0,TT2,j60,LBCS_DP,7581372,4370,0,11387284
15,1,0.000821043,True,84,63,245,63,TT2,j60,LBCS_DP,0,0,0,157
15,2,0.00115151,True,89,66,279,63,TT2,j60,LBCS_DP,0,0,0,191
15,3,0.00134422,True,72,74,432,63,TT2,j60,LBCS_DP,0,0,0,255
15,4,0.00138629,True,75,83,402,63,TT2,j60,LBCS_DP,0,0,0,263
15,5,0.00150617,True,70,75,394,63,TT2,j60,LBCS_DP,0,0,0,214
15,6,0.00220872,True,76,108,609,63,TT2,j60,LBCS_DP,0,0,0,321
15,7,300,False,0,2376600,16415349,0,TT2,j60,LBCS_DP,3809365,0,0,6065824
15,8,0.00732216,True,79,109,622,63,TT2,j60,LBCS_DP,0,0,0,188
15,9,0.00104165,True,72,64,322,63,TT2,j60,LBCS_DP,0,0,0,181
15,10,0.00150593,True,61,77,454,63,TT2,j60,LBCS_DP,0,0,0,189
16,1,0.216572,True,64,9654,53975,63,TT2,j60,LBCS_DP,6609,0,0,20770
16,2,0.000917617,True,64,63,302,63,TT2,j60,LBCS_DP,0,0,0,215
16,3,0.000972475,True,53,66,289,63,TT2,j60,LBCS_DP,0,0,0,285
16,4,0.000866961,True,60,64,251,63,TT2,j60,LBCS_DP,0,0,0,221
16,5,0.0012897,True,66,65,342,63,TT2,j60,LBCS_DP,0,0,0,178
16,6,0.00134298,True,66,68,357,63,TT2,j60,LBCS_DP,0,0,0,217
16,7,0.000696014,True,82,63,198,63,TT2,j60,LBCS_DP,0,0,0,181
16,8,0.00115975,True,68,65,336,63,TT2,j60,LBCS_DP,0,0,0,235
16,9,0.00100448,True,54,63,281,63,TT2,j60,LBCS_DP,0,0,0,216
16,10,0.000837313,True,68,63,263,63,TT2,j60,LBCS_DP,0,0,0,222
17,1,29.0297,True,86,2823927,11174949,63,TT2,j60,LBCS_DP,5813954,286110,0,7433830
17,2,228.491,True,69,21449076,87754638,63,TT2,j60,LBCS_DP,39961185,3566389,0,69029990
17,3,131.397,True,89,9682876,45116043,63,TT2,j60,LBCS_DP,27042123,1389698,0,24617916
17,4,79.5732,True,71,8526125,37760660,63,TT2,j60,LBCS_DP,19408527,471059,0,27263400
