group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
14,1,300,False,0,4358043,52187158,0,TT2,j60,LBCS_DP,9228183,6,0
14,2,300,False,0,4301150,46592703,0,TT2,j60,LBCS_DP,14364755,0,0
14,3,300,False,0,5143892,58205913,0,TT2,j60,LBCS_DP,9870722,0,0
14,4,300,False,0,5190493,59641779,0,TT2,j60,LBCS_DP,15130874,7,0
14,5,300,False,0,3262184,38011724,0,TT2,j60,LBCS_DP,8372081,0,0
14,6,300,False,0,5447463,62710211,0,TT2,j60,LBCS_DP,17523142,0,0
14,7,300,False,0,5443066,53877501,0,TT2,j60,LBCS_DP,12640681,556,0
14,8,300,False,0,4963577,63443521,0,TT2,j60,LBCS_DP,12997482,1194,0
14,9,300,False,0,3154273,41929087,0,TT2,j60,LBCS_DP,9186206,0,0
14,10,300,False,0,4149469,40052096,0,TT2,j60,LBCS_DP,10848134,425,0
15,1,0.546425,True,84,18714,175484,63,TT2,j60,LBCS_DP,17706,0,0
15,2,39.5912,True,89,1021996,8553352,63,TT2,j60,LBCS_DP,1477149,0,0
15,3,3.88318,True,72,104350,1022575,63,TT2,j60,LBCS_DP,178478,0,0
15,4,0.338807,True,75,9166,100784,63,TT2,j60,LBCS_DP,4738,0,0
15,5,0.00286826,True,70,91,692,63,TT2,j60,LBCS_DP,0,0,0
15,6,0.422424,True,76,18808,136667,63,TT2,j60,LBCS_DP,20197,0,0
15,7,300,False,0,3023878,38558707,0,TT2,j60,LBCS_DP,7862468,0,0
15,8,300,False,0,4340081,46720938,0,TT2,j60,LBCS_DP,15074847,0,0
15,9,0.00218859,True,72,71,615,63,TT2,j60,LBCS_DP,0,0,0
15,10,0.00276,True,61,83,718,63,TT2,j60,LBCS_DP,0,0,0
16,1,0.00553918,True,64,234,1859,63,TT2,j60,LBCS_DP,96,0,0
16,2,0.00207303,True,64,72,639,63,TT2,j60,LBCS_DP,0,0,0
16,3,0.00212692,True,53,64,562,63,TT2,j60,LBCS_DP,0,0,0
16,4,0.00504883,True,60,87,863,63,TT2,j60,LBCS_DP,0,0,0
16,5,0.00206433,True,66,63,517,63,TT2,j60,LBCS_DP,0,0,0
16,6,0.00435462,True,66,84,763,63,TT2,j60,LBCS_DP,2,0,0
16,7,0.0135893,True,82,571,4296,63,TT2,j60,LBCS_DP,307,0,0
16,8,0.00224041,True,68,67,602,63,TT2,j60,LBCS_DP,0,0,0
16,9,0.0021246,True,54,66,624,63,TT2,j60,LBCS_DP,0,0,0
16,10,0.456823,True,68,15800,151624,63,TT2,j60,LBCS_DP,20247,0,0
17,1,117.142,True,86,8967943,59229147,63,TT2,j60,LBCS_DP,31511961,1437256,0
17,2,300,False,0,15781162,157975664,0,TT2,j60,LBCS_DP,50285023,43582,0
17,3,300,False,0,17678324,152362986,0,TT2,j60,LBCS_DP,72840616,2101563,0
17,4,300,False,0,18599999,170804118,0,TT2,j60,LBCS_DP,60349659,23999,0
17,5,300,False,0,17938481,124056993,0,TT2,j60,LBCS_DP,56336250,4787880,0
17,6,300,False,0,13490738,144817484,0,TT2,j60,LBCS_DP,44746731,17512,0
