group,exam,time,finished,makespan,expand_number,generated_number,depth,PetriType,SetType,Heuristic,dominance_pruned,dominance_pop_pruned,ub_pruned
9,10,1.06745,True,88,125088,622813,33,TT2,j30,LBMAX_DP,235354,12026,0
10,1,0.915011,True,42,69608,460746,33,TT2,j30,LBMAX_DP,89661,105,0
10,2,0.0761876,True,56,12622,48621,33,TT2,j30,LBMAX_DP,12269,2597,0
10,3,1.37249,True,62,166756,692381,33,TT2,j30,LBMAX_DP,170284,30494,0
10,4,0.254613,True,58,27926,125022,33,TT2,j30,LBMAX_DP,40121,2545,0
10,5,7.16367,True,41,429594,2739423,33,TT2,j30,LBMAX_DP,820359,719,0
10,6,0.669535,True,44,72583,340504,33,TT2,j30,LBMAX_DP,135039,17311,0
10,7,0.146452,True,49,14799,77878,33,TT2,j30,LBMAX_DP,24155,1984,0
10,8,0.988057,True,54,124192,494233,33,TT2,j30,LBMAX_DP,127783,38341,0
10,9,2.47538,True,49,161856,987662,33,TT2,j30,LBMAX_DP,251933,44,0
10,10,2.38729,True,41,184889,903989,33,TT2,j30,LBMAX_DP,309759,53159,0
11,1,0.00997716,True,54,1467,5855,33,TT2,j30,LBMAX_DP,658,150,0
11,2,0.0287835,True,56,3647,16395,33,TT2,j30,LBMAX_DP,2462,0,0
11,3,0.00199255,True,81,149,931,33,TT2,j30,LBMAX_DP,6,0,0
11,4,1.1899,True,63,153866,598527,33,TT2,j30,LBMAX_DP,203180,41882,0
11,5,0.284674,True,49,27237,183638,33,TT2,j30,LBMAX_DP,38190,142,0
11,6,0.0141624,True,44,1391,8877,33,TT2,j30,LBMAX_DP,556,0,0
11,7,8.72492,True,36,414687,2576738,33,TT2,j30,LBMAX_DP,849560,163,0
11,8,2.35527,True,62,187413,1160090,33,TT2,j30,LBMAX_DP,295006,469,0
11,9,0.0209304,True,67,2346,13563,33,TT2,j30,LBMAX_DP,2723,0,0
11,10,0.0161161,True,38,2314,10985,33,TT2,j30,LBMAX_DP,2279,0,0
12,1,0.000631346,True,47,54,281,33,TT2,j30,LBMAX_DP,0,0,0
12,2,0.000756802,True,46,69,338,33,TT2,j30,LBMAX_DP,13,0,0
12,3,0.000376192,True,37,35,152,33,TT2,j30,LBMAX_DP,0,0,0
12,4,0.000473961,True,63,42,202,33,TT2,j30,LBMAX_DP,0,0,0
12,5,0.00039809,True,47,33,172,33,TT2,j30,LBMAX_DP,0,0,0
12,6,0.035738,True,53,3919,21732,33,TT2,j30,LBMAX_DP,3702,0,0
12,7,0.00161317,True,55,163,838,33,TT2,j30,LBMAX_DP,2,0,0
12,8,0.000495304,True,35,33,203,33,TT2,j30,LBMAX_DP,0,0,0
12,9,0.0010325,True,52,140,538,33,TT2,j30,LBMAX_DP,32,0,0
12,10,0.0192464,True,57,1716,9581,33,TT2,j30,LBMAX_DP,690,0,0
13,1,24.3149,True,58,1302372,5969017,33,TT2,j30,LBMAX_DP,2867561,193819,0
13,2,7.65152,True,62,577541,2838293,33,TT2,j30,LBMAX_DP,1126206,61921,0
13,3,1.78875,True,76,175033,806400,33,TT2,j30,LBMAX_DP,300193,16917,0
13,4,0.540351,True,72,62419,289155,33,TT2,j30,LBMAX_DP,66623,5756,0
13,5,9.52086,True,67,725577,3472447,33,TT2,j30,LBMAX_DP,1172163,113568,0
13,6,8.60629,True,64,622633,3045583,33,TT2,j30,LBMAX_DP,1052718,91863,0
13,7,1.46868,True,77,149612,679347,33,TT2,j30,LBMAX_DP,207810,15196,0
13,8,0.322312,True,106,45046,213640,33,TT2,j30,LBMAX_DP,73232,2947,0
13,9,1.9374,True,71,185952,906949,33,TT2,j30,LBMAX_DP,331368,20403,0
13,10,7.25965,True,64,564745,2979932,33,TT2,j30,LBMAX_DP,1136471,64783,0
14,1,0.456727,True,50,51347,190488,33,TT2,j30,LBMAX_DP,70973,7895,0
14,2,0.629786,True,53,52564,264388,33,TT2,j30,LBMAX_DP,91905,4185,0
14,3,1.06174,True,58,86184,450370,33,TT2,j30,LBMAX_DP,86443,439,0
14,4,5.52503,True,50,525716,2033104,33,TT2,j30,LBMAX_DP,802382,182275,0
14,5,0.0231648,True,52,2073,12617,33,TT2,j30,LBMAX_DP,1932,270,0
14,6,0.162244,True,35,13432,80998,33,TT2,j30,LBMAX_DP,12126,875,0
14,7,0.766881,True,50,66181,287715,33,TT2,j30,LBMAX_DP,74004,14210,0
14,8,0.398295,True,54,29567,175639,33,TT2,j30,LBMAX_DP,28764,6,0
14,9,3.10733,True,46,276201,1268743,33,TT2,j30,LBMAX_DP,316347,82610,0
14,10,0.022546,True,61,2956,14594,33,TT2,j30,LBMAX_DP,5284,475,0
